date,douban,douban_celebrity,imdb,bangumi,steam,indienova,epic,total_count
2025-08,4639,5333,5420,4,0,0,0,15396
2025-07,30521,32807,30499,6,0,0,0,93833
2025-06,41917,41733,32066,5,0,0,0,115721
2025-05,54958,55397,33041,0,0,0,0,143396
2025-04,56522,57119,24341,0,0,0,0,137982
2025-03,63049,66134,16426,0,0,0,0,145609
2025-02,56930,65676,52238,0,0,0,0,174844
2025-01,12852,31611,10610,6477,0,0,0,61550
2024-12,724,0,3024,0,0,0,0,3748
2024-11,1420,0,7661,0,0,0,0,9081
2024-10,295,0,9317,0,0,0,0,9612
2024-09,149,0,0,0,0,0,0,149
2024-08,111,0,0,0,0,0,0,111
2024-07,126,0,0,0,0,0,0,126
2024-06,127,0,0,0,0,0,0,127
2024-05,147,0,0,0,0,0,0,147
2024-04,182,0,0,0,0,0,0,182
2024-03,143,0,0,0,0,0,0,143
2024-02,173,0,0,0,0,0,0,173
2024-01,182,0,0,0,0,0,0,182
2023-12,147,0,0,0,0,0,0,147
2023-11,160,0,0,0,0,0,0,160
2023-10,127,0,0,0,0,0,0,127
2023-09,127,0,0,0,0,0,0,127
2023-08,105,0,0,0,0,0,0,105
2023-07,132,0,0,0,0,0,0,132
2023-06,150,0,0,0,0,0,0,150
2023-05,164,0,0,0,0,0,0,164
2023-04,121,0,0,0,0,0,0,121
2023-03,113,0,0,0,0,0,0,113
2023-02,79,0,0,0,0,0,0,79
2023-01,142,0,0,0,0,0,0,142
2022-12,131,0,0,0,0,0,0,131
2022-11,198,0,0,0,0,0,0,198
2022-10,183,0,0,0,0,0,0,183
2022-09,209,0,0,0,0,0,0,209
2022-08,150,0,0,0,0,0,0,150
2022-07,151,0,0,0,0,0,0,151
2022-06,203,0,0,0,0,0,0,203
2022-05,245,0,0,0,0,0,0,245
2022-04,275,0,0,0,0,0,0,275
2022-03,395,0,0,0,0,0,0,395
2022-02,873,0,0,0,0,0,0,873
2021-08,0,0,0,10,4,0,0,14
2021-07,0,0,0,125,34,6,0,165
2021-06,0,0,191,83,156,1,0,431
2021-05,929,0,356,45,72,11,0,1413
2021-04,1893,0,387,111,130,18,0,2539
2021-03,1887,0,609,72,91,11,0,2670
2021-02,2085,0,552,74,38,2,0,2751
2021-01,2449,0,294,103,50,4,1,2901
2020-12,2145,0,374,72,33,8,2,2634
2020-11,2064,0,318,46,53,1,0,2482
2020-10,2109,0,554,118,48,3,1,2833
2020-09,1802,0,631,74,72,1,0,2580
2020-08,1647,0,454,36,33,3,0,2173
2020-07,1683,0,324,109,37,57,0,2210
2020-06,1713,0,285,56,16,10,1,2081
2020-05,1758,0,141,30,12,0,1,1942
2020-04,3443,0,117,55,13,1,0,3629
2020-03,2120,0,897,65,24,0,0,3106
2020-02,1565,0,211,23,13,2,0,1814
2020-01,3237,0,242,76,21,1,1,3578
2019-12,2286,0,85,54,18,0,2,2445
2019-11,1157,0,68,101,55,3,1,1385
2019-10,2052,0,101,120,68,4,1,2346
2019-09,1707,0,63,45,35,1,1,1852
2019-08,1677,0,42,35,33,0,0,1787
2019-07,1539,0,51,43,24,2,1,1660
2019-06,905,0,34,25,58,0,0,1022
2019-05,1893,0,79,86,80,0,0,2138
2019-04,2141,0,93,94,96,0,0,2424
2019-01,178,0,0,0,0,0,0,178
2018-12,681,0,0,0,0,0,0,681
2018-11,627,0,0,0,0,0,0,627
2018-10,629,0,0,0,0,0,0,629
2018-09,908,0,0,0,0,0,0,908
2018-08,9559,0,0,0,0,0,0,9559
